name,site_type,link,unique_id,gallery_url,picture_url
Minaret and Archaeological Remains of Jam,cultural_danger,https://whc.unesco.org/en/list/211,211,https://whc.unesco.org/en/list/211/gallery,https://whc.unesco.org/uploads/thumbs/site_0211_0008-1200-630-20240126154919.jpg
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,cultural_danger,https://whc.unesco.org/en/list/208,208,https://whc.unesco.org/en/list/208/gallery,https://whc.unesco.org/uploads/thumbs/site_0208_0002-1200-630-20170802154248.jpg
Natural and Cultural Heritage of the Ohrid region,mixed,https://whc.unesco.org/en/list/99,99,https://whc.unesco.org/en/list/99/gallery,https://whc.unesco.org/uploads/thumbs/site_0099_0001-1200-630-20251023153858.jpg
Butrint,cultural,https://whc.unesco.org/en/list/570,570,https://whc.unesco.org/en/list/570/gallery,https://whc.unesco.org/uploads/thumbs/site_0570_0005-1200-630-20151104150902.jpg
Historic Centres of Berat and Gjirokastra,cultural,https://whc.unesco.org/en/list/569,569,https://whc.unesco.org/en/list/569/gallery,https://whc.unesco.org/uploads/thumbs/site_0569_0006-1200-630-20151104150928.jpg
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,https://whc.unesco.org/en/list/1133,1133,https://whc.unesco.org/en/list/1133/gallery,https://whc.unesco.org/uploads/thumbs/site_1133_0076-1200-630-20251103122935.jpg
Al Qal'a of Beni Hammad,cultural,https://whc.unesco.org/en/list/102,102,https://whc.unesco.org/en/list/102/gallery,https://whc.unesco.org/uploads/thumbs/site_0102_0001-1200-630-20130925184001.jpg
Djémila,cultural,https://whc.unesco.org/en/list/191,191,https://whc.unesco.org/en/list/191/gallery,https://whc.unesco.org/uploads/thumbs/site_0191_0001-1200-630-20090923174604.jpg
M'Zab Valley,cultural,https://whc.unesco.org/en/list/188,188,https://whc.unesco.org/en/list/188/gallery,https://whc.unesco.org/uploads/thumbs/site_0188_0001-1200-630-20180730112538.jpg
Tassili n'Ajjer,mixed,https://whc.unesco.org/en/list/179,179,https://whc.unesco.org/en/list/179/gallery,https://whc.unesco.org/uploads/thumbs/site_0179_0001-1200-630-20090910111123.jpg
Timgad,cultural,https://whc.unesco.org/en/list/194,194,https://whc.unesco.org/en/list/194/gallery,https://whc.unesco.org/uploads/thumbs/site_0194_0001-1200-630-20100108152533.jpg
Tipasa,cultural,https://whc.unesco.org/en/list/193,193,https://whc.unesco.org/en/list/193/gallery,https://whc.unesco.org/uploads/thumbs/site_0193_0001-1200-630-20180730112259.jpg
Kasbah of Algiers,cultural,https://whc.unesco.org/en/list/565,565,https://whc.unesco.org/en/list/565/gallery,https://whc.unesco.org/uploads/thumbs/site_0565_0015-1200-630-20260129170718.jpg
Madriu-Perafita-Claror Valley,cultural,https://whc.unesco.org/en/list/1160,1160,https://whc.unesco.org/en/list/1160/gallery,https://whc.unesco.org/uploads/thumbs/site_1160_0016-1200-630-20140822171056.jpg
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",cultural,https://whc.unesco.org/en/list/1511,1511,https://whc.unesco.org/en/list/1511/gallery,https://whc.unesco.org/uploads/thumbs/site_1511_0011-1200-630-20170904150559.jpg
Antigua Naval Dockyard and Related Archaeological Sites,cultural,https://whc.unesco.org/en/list/1499,1499,https://whc.unesco.org/en/list/1499/gallery,https://whc.unesco.org/uploads/thumbs/site_1499_0004-1200-630-20160610105352.jpg
Los Glaciares National Park,natural,https://whc.unesco.org/en/list/145,145,https://whc.unesco.org/en/list/145/gallery,https://whc.unesco.org/uploads/thumbs/site_0145_0013-1200-630-20151104151127.jpg
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",cultural,https://whc.unesco.org/en/list/275,275,https://whc.unesco.org/en/list/275/gallery,https://whc.unesco.org/uploads/thumbs/site_0275_0002-1200-630-20120730182151.jpg
Iguazu National Park,natural,https://whc.unesco.org/en/list/303,303,https://whc.unesco.org/en/list/303/gallery,https://whc.unesco.org/uploads/thumbs/site_0303_0010-1200-630-20151104151051.jpg
"Cueva de las Manos, Río Pinturas",cultural,https://whc.unesco.org/en/list/936,936,https://whc.unesco.org/en/list/936/gallery,https://whc.unesco.org/uploads/thumbs/site_0936_0009-1200-630-20241024124952.jpg
Península Valdés,natural,https://whc.unesco.org/en/list/937,937,https://whc.unesco.org/en/list/937/gallery,https://whc.unesco.org/uploads/thumbs/site_0937_0001-1200-630-20151111155818.jpg
Ischigualasto / Talampaya Natural Parks,natural,https://whc.unesco.org/en/list/966,966,https://whc.unesco.org/en/list/966/gallery,https://whc.unesco.org/uploads/thumbs/site_0966_0011-1200-630-20130206172445.jpg
Jesuit Block and Estancias of Córdoba,cultural,https://whc.unesco.org/en/list/995,995,https://whc.unesco.org/en/list/995/gallery,https://whc.unesco.org/uploads/thumbs/site_0995_0001-1200-630-20130206164854.jpg
Quebrada de Humahuaca,cultural,https://whc.unesco.org/en/list/1116,1116,https://whc.unesco.org/en/list/1116/gallery,https://whc.unesco.org/uploads/thumbs/site_1116_0011-1200-630-20151104151155.jpg
"Qhapaq Ñan, Andean Road System",cultural,https://whc.unesco.org/en/list/1459,1459,https://whc.unesco.org/en/list/1459/gallery,https://whc.unesco.org/uploads/thumbs/site_1459_0020-1200-630-20170322164215.jpg
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",cultural,https://whc.unesco.org/en/list/1321,1321,https://whc.unesco.org/en/list/1321/gallery,https://whc.unesco.org/uploads/thumbs/site_1321_0036-1200-630-20221003172203.jpg
Los Alerces National Park,natural,https://whc.unesco.org/en/list/1526,1526,https://whc.unesco.org/en/list/1526/gallery,https://whc.unesco.org/uploads/thumbs/site_1526_0001-1200-630-20170705175051.jpg
"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",cultural,https://whc.unesco.org/en/list/1681,1681,https://whc.unesco.org/en/list/1681/gallery,https://whc.unesco.org/uploads/thumbs/site_1681_0003-1200-630-20230615151908.jpg
Monasteries of Haghpat and Sanahin,cultural,https://whc.unesco.org/en/list/777,777,https://whc.unesco.org/en/list/777/gallery,https://whc.unesco.org/uploads/thumbs/site_0777_0026-1200-630-20241024163035.jpg
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,cultural,https://whc.unesco.org/en/list/1011,1011,https://whc.unesco.org/en/list/1011/gallery,https://whc.unesco.org/uploads/thumbs/site_1011_0023-1200-630-20241024163247.jpg
Monastery of Geghard and the Upper Azat Valley,cultural,https://whc.unesco.org/en/list/960,960,https://whc.unesco.org/en/list/960/gallery,https://whc.unesco.org/uploads/thumbs/site_0960_0035-1200-630-20241024163338.jpg
Great Barrier Reef,natural,https://whc.unesco.org/en/list/154,154,https://whc.unesco.org/en/list/154/gallery,https://whc.unesco.org/uploads/thumbs/site_0154_0001-1200-630-20151104132153.jpg
Kakadu National Park,mixed,https://whc.unesco.org/en/list/147,147,https://whc.unesco.org/en/list/147/gallery,https://whc.unesco.org/uploads/thumbs/site_0147_0006-1200-630-20121119165741.jpg
Willandra Lakes Region,mixed,https://whc.unesco.org/en/list/167,167,https://whc.unesco.org/en/list/167/gallery,https://whc.unesco.org/uploads/thumbs/site_0167_0001-1200-630-20140304152542.jpg
Lord Howe Island Group,natural,https://whc.unesco.org/en/list/186,186,https://whc.unesco.org/en/list/186/gallery,https://whc.unesco.org/uploads/thumbs/site_0186_0001-1200-630-20071205113221.jpg
Tasmanian Wilderness,mixed,https://whc.unesco.org/en/list/181,181,https://whc.unesco.org/en/list/181/gallery,https://whc.unesco.org/uploads/thumbs/site_0181_0006-1200-630-20151104151809.jpg
Gondwana Rainforests of Australia,natural,https://whc.unesco.org/en/list/368,368,https://whc.unesco.org/en/list/368/gallery,https://whc.unesco.org/uploads/thumbs/site_0368_0001-1200-630-20071205110908.jpg
Uluru-Kata Tjuta National Park,mixed,https://whc.unesco.org/en/list/447,447,https://whc.unesco.org/en/list/447/gallery,https://whc.unesco.org/uploads/thumbs/site_0447_0001-1200-630-20151104152006.jpg
Wet Tropics of Queensland,natural,https://whc.unesco.org/en/list/486,486,https://whc.unesco.org/en/list/486/gallery,https://whc.unesco.org/uploads/thumbs/site_0486_0001-1200-630-20151104152107.jpg
"Shark Bay, Western Australia",natural,https://whc.unesco.org/en/list/578,578,https://whc.unesco.org/en/list/578/gallery,https://whc.unesco.org/uploads/thumbs/site_0578_0006-1200-630-20151104151523.jpg
K’gari,natural,https://whc.unesco.org/en/list/630,630,https://whc.unesco.org/en/list/630/gallery,https://whc.unesco.org/uploads/thumbs/site_0630_0001-1200-630-20251003174155.jpg
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),natural,https://whc.unesco.org/en/list/698,698,https://whc.unesco.org/en/list/698/gallery,https://whc.unesco.org/uploads/thumbs/site_0698_0001-1200-630-20071204162957.jpg
Heard and McDonald Islands,natural,https://whc.unesco.org/en/list/577,577,https://whc.unesco.org/en/list/577/gallery,https://whc.unesco.org/uploads/thumbs/site_0577_0001-1200-630-20130801164127.jpg
Macquarie Island,natural,https://whc.unesco.org/en/list/629,629,https://whc.unesco.org/en/list/629/gallery,https://whc.unesco.org/uploads/thumbs/site_0629_0001-1200-630-20110920202139.jpg
Greater Blue Mountains Area,natural,https://whc.unesco.org/en/list/917,917,https://whc.unesco.org/en/list/917/gallery,https://whc.unesco.org/uploads/thumbs/site_0917_0001-1200-630-20071205113524.jpg
Purnululu National Park,natural,https://whc.unesco.org/en/list/1094,1094,https://whc.unesco.org/en/list/1094/gallery,https://whc.unesco.org/uploads/thumbs/site_1094_0001-1200-630-20151104151332.jpg
Royal Exhibition Building and Carlton Gardens,cultural,https://whc.unesco.org/en/list/1131,1131,https://whc.unesco.org/en/list/1131/gallery,https://whc.unesco.org/uploads/thumbs/site_1131_0011-1200-630-20151104151449.jpg
Sydney Opera House,cultural,https://whc.unesco.org/en/list/166,166,https://whc.unesco.org/en/list/166/gallery,https://whc.unesco.org/uploads/thumbs/site_0166_0001-1200-630-20151104151645.jpg
Australian Convict Sites,cultural,https://whc.unesco.org/en/list/1306,1306,https://whc.unesco.org/en/list/1306/gallery,https://whc.unesco.org/uploads/thumbs/site_1306_0011-1200-630-20230113124858.jpg
Ningaloo Coast,natural,https://whc.unesco.org/en/list/1369,1369,https://whc.unesco.org/en/list/1369/gallery,https://whc.unesco.org/uploads/thumbs/site_1369_0011-1200-630-20221003105040.jpg
Budj Bim Cultural Landscape,cultural,https://whc.unesco.org/en/list/1577,1577,https://whc.unesco.org/en/list/1577/gallery,https://whc.unesco.org/uploads/thumbs/site_1577_0005-1200-630-20230113155719.jpg
Murujuga Cultural Landscape,cultural,https://whc.unesco.org/en/list/1709,1709,https://whc.unesco.org/en/list/1709/gallery,https://whc.unesco.org/uploads/thumbs/site_1709_0004-1200-630-20250617115009.jpg
Historic Centre of the City of Salzburg,cultural,https://whc.unesco.org/en/list/784,784,https://whc.unesco.org/en/list/784/gallery,https://whc.unesco.org/uploads/thumbs/site_0784_0001-1200-630-20151104154526.jpg
Palace and Gardens of Schönbrunn,cultural,https://whc.unesco.org/en/list/786,786,https://whc.unesco.org/en/list/786/gallery,https://whc.unesco.org/uploads/thumbs/site_0786_0022-1200-630-20130923102244.jpg
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,cultural,https://whc.unesco.org/en/list/806,806,https://whc.unesco.org/en/list/806/gallery,https://whc.unesco.org/uploads/thumbs/site_0806_0001-1200-630-20260219104245.jpg
Semmering Railway,cultural,https://whc.unesco.org/en/list/785,785,https://whc.unesco.org/en/list/785/gallery,https://whc.unesco.org/uploads/thumbs/site_0785_0010-1200-630-20131014173928.jpg
City of Graz – Historic Centre and Schloss Eggenberg,cultural,https://whc.unesco.org/en/list/931,931,https://whc.unesco.org/en/list/931/gallery,https://whc.unesco.org/uploads/thumbs/site_0931_0005-1200-630-20130219150604.jpg
Wachau Cultural Landscape,cultural,https://whc.unesco.org/en/list/970,970,https://whc.unesco.org/en/list/970/gallery,https://whc.unesco.org/uploads/thumbs/site_0970_0001-1200-630-20090916143835.jpg
Historic Centre of Vienna,cultural_danger,https://whc.unesco.org/en/list/1033,1033,https://whc.unesco.org/en/list/1033/gallery,https://whc.unesco.org/uploads/thumbs/site_1033_0006-1200-630-20260219105432.jpg
Fertö / Neusiedlersee Cultural Landscape,cultural,https://whc.unesco.org/en/list/772,772,https://whc.unesco.org/en/list/772/gallery,https://whc.unesco.org/uploads/thumbs/site_0772_0016-1200-630-20241028180336.jpg
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,https://whc.unesco.org/en/list/1133,1133,https://whc.unesco.org/en/list/1133/gallery,https://whc.unesco.org/uploads/thumbs/site_1133_0076-1200-630-20251103122935.jpg
Prehistoric Pile Dwellings around the Alps,cultural,https://whc.unesco.org/en/list/1363,1363,https://whc.unesco.org/en/list/1363/gallery,https://whc.unesco.org/uploads/thumbs/site_1363_0001-1200-630-20260121175321.jpg
Frontiers of the Roman Empire – The Danube Limes (Western Segment),cultural,https://whc.unesco.org/en/list/1608,1608,https://whc.unesco.org/en/list/1608/gallery,https://whc.unesco.org/uploads/thumbs/site_1608_0041-1200-630-20251127121059.jpg
The Great Spa Towns of Europe,cultural,https://whc.unesco.org/en/list/1613,1613,https://whc.unesco.org/en/list/1613/gallery,https://whc.unesco.org/uploads/thumbs/site_1613_0001-1200-630-20210401103443.jpg
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,cultural,https://whc.unesco.org/en/list/958,958,https://whc.unesco.org/en/list/958/gallery,https://whc.unesco.org/uploads/thumbs/site_0958_0021-1200-630-20130924143213.jpg
Gobustan Rock Art Cultural Landscape,cultural,https://whc.unesco.org/en/list/1076,1076,https://whc.unesco.org/en/list/1076/gallery,https://whc.unesco.org/uploads/thumbs/site_1076_0017-1200-630-20131001175023.jpg
Historic Centre of Sheki with the Khan’s Palace,cultural,https://whc.unesco.org/en/list/1549,1549,https://whc.unesco.org/en/list/1549/gallery,https://whc.unesco.org/uploads/thumbs/site_1549_0022-1200-630-20190319144851.jpg
Hyrcanian Forests,natural,https://whc.unesco.org/en/list/1584,1584,https://whc.unesco.org/en/list/1584/gallery,https://whc.unesco.org/uploads/thumbs/site_1584_0003-1200-630-20230704180544.jpg
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,cultural,https://whc.unesco.org/en/list/1696,1696,https://whc.unesco.org/en/list/1696/gallery,https://whc.unesco.org/uploads/thumbs/site_1696_0001-1200-630-20230615125540.jpg
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,cultural,https://whc.unesco.org/en/list/1192,1192,https://whc.unesco.org/en/list/1192/gallery,https://whc.unesco.org/uploads/thumbs/site_1192_0010-1200-630-20151104125926.jpg
"Pearling, Testimony of an Island Economy",cultural,https://whc.unesco.org/en/list/1364,1364,https://whc.unesco.org/en/list/1364/gallery,https://whc.unesco.org/uploads/thumbs/site_1364_0001-1200-630-20120614172217.jpg
Dilmun Burial Mounds,cultural,https://whc.unesco.org/en/list/1542,1542,https://whc.unesco.org/en/list/1542/gallery,https://whc.unesco.org/uploads/thumbs/site_1542_0002-1200-630-20190319141329.jpg
Historic Mosque City of Bagerhat,cultural,https://whc.unesco.org/en/list/321,321,https://whc.unesco.org/en/list/321/gallery,https://whc.unesco.org/uploads/thumbs/site_0321_0004-1200-630-20140623145817.jpg
Ruins of the Buddhist Vihara at Paharpur,cultural,https://whc.unesco.org/en/list/322,322,https://whc.unesco.org/en/list/322/gallery,https://whc.unesco.org/uploads/thumbs/site_0322_0013-1200-630-20131008165904.jpg
The Sundarbans,natural,https://whc.unesco.org/en/list/798,798,https://whc.unesco.org/en/list/798/gallery,https://whc.unesco.org/uploads/thumbs/site_0798_0001-1200-630-20090910161220.jpg
Historic Bridgetown and its Garrison,cultural,https://whc.unesco.org/en/list/1376,1376,https://whc.unesco.org/en/list/1376/gallery,https://whc.unesco.org/uploads/thumbs/site_1376_0010-1200-630-20151104154813.jpg
Białowieża Forest,natural,https://whc.unesco.org/en/list/33,33,https://whc.unesco.org/en/list/33/gallery,https://whc.unesco.org/uploads/thumbs/site_0033_0007-1200-630-20260219151705.jpg
Mir Castle Complex,cultural,https://whc.unesco.org/en/list/625,625,https://whc.unesco.org/en/list/625/gallery,https://whc.unesco.org/uploads/thumbs/site_0625_0001-1200-630-20090924150953.jpg
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",cultural,https://whc.unesco.org/en/list/1196,1196,https://whc.unesco.org/en/list/1196/gallery,https://whc.unesco.org/uploads/thumbs/site_1196_0006-1200-630-20130916103847.jpg
Struve Geodetic Arc,cultural,https://whc.unesco.org/en/list/1187,1187,https://whc.unesco.org/en/list/1187/gallery,https://whc.unesco.org/uploads/thumbs/site_1187_0001-1200-630-20151104154840.jpg
Flemish Béguinages,cultural,https://whc.unesco.org/en/list/855,855,https://whc.unesco.org/en/list/855/gallery,https://whc.unesco.org/uploads/thumbs/site_0855_0022-1200-630-20260220110524.jpg
"La Grand-Place, Brussels",cultural,https://whc.unesco.org/en/list/857,857,https://whc.unesco.org/en/list/857/gallery,https://whc.unesco.org/uploads/thumbs/site_0857_0001-1200-630-20250108115933.jpg
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",cultural,https://whc.unesco.org/en/list/856,856,https://whc.unesco.org/en/list/856/gallery,https://whc.unesco.org/uploads/thumbs/site_0856_0007-1200-630-20260220110731.jpg
Belfries of Belgium and France,cultural,https://whc.unesco.org/en/list/943,943,https://whc.unesco.org/en/list/943/gallery,https://whc.unesco.org/uploads/thumbs/site_0943_0001-1200-630-20251022172600.jpg
Historic Centre of Brugge,cultural,https://whc.unesco.org/en/list/996,996,https://whc.unesco.org/en/list/996/gallery,https://whc.unesco.org/uploads/thumbs/site_0996_0034-1200-630-20151104155454.jpg
Major Town Houses of the Architect Victor Horta (Brussels),cultural,https://whc.unesco.org/en/list/1005,1005,https://whc.unesco.org/en/list/1005/gallery,https://whc.unesco.org/uploads/thumbs/site_1005_0019-1200-630-20140707152639.jpg
Neolithic Flint Mines at Spiennes (Mons),cultural,https://whc.unesco.org/en/list/1006,1006,https://whc.unesco.org/en/list/1006/gallery,https://whc.unesco.org/uploads/thumbs/site_1006_0001-1200-630-20090924152659.jpg
Notre-Dame Cathedral in Tournai,cultural,https://whc.unesco.org/en/list/1009,1009,https://whc.unesco.org/en/list/1009/gallery,https://whc.unesco.org/uploads/thumbs/site_1009_0001-1200-630-20151104160049.jpg
Plantin-Moretus House-Workshops-Museum Complex,cultural,https://whc.unesco.org/en/list/1185,1185,https://whc.unesco.org/en/list/1185/gallery,https://whc.unesco.org/uploads/thumbs/site_1185_0001-1200-630-20090916161934.jpg
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,https://whc.unesco.org/en/list/1133,1133,https://whc.unesco.org/en/list/1133/gallery,https://whc.unesco.org/uploads/thumbs/site_1133_0076-1200-630-20251103122935.jpg
Stoclet House,cultural,https://whc.unesco.org/en/list/1298,1298,https://whc.unesco.org/en/list/1298/gallery,https://whc.unesco.org/uploads/thumbs/site_1298_0001-1200-630-20230112143755.jpg
Major Mining Sites of Wallonia,cultural,https://whc.unesco.org/en/list/1344,1344,https://whc.unesco.org/en/list/1344/gallery,https://whc.unesco.org/uploads/thumbs/site_1344_0004-1200-630-20151104120642.jpg
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",cultural,https://whc.unesco.org/en/list/1321,1321,https://whc.unesco.org/en/list/1321/gallery,https://whc.unesco.org/uploads/thumbs/site_1321_0036-1200-630-20221003172203.jpg
Colonies of Benevolence,cultural,https://whc.unesco.org/en/list/1555,1555,https://whc.unesco.org/en/list/1555/gallery,https://whc.unesco.org/uploads/thumbs/site_1555_0002-1200-630-20221125093804.jpg
The Great Spa Towns of Europe,cultural,https://whc.unesco.org/en/list/1613,1613,https://whc.unesco.org/en/list/1613/gallery,https://whc.unesco.org/uploads/thumbs/site_1613_0001-1200-630-20210401103443.jpg
Funerary and memory sites of the First World War (Western Front),cultural,https://whc.unesco.org/en/list/1567,1567,https://whc.unesco.org/en/list/1567/gallery,https://whc.unesco.org/uploads/thumbs/site_1567_0024-1200-630-20250507165448.jpg
Belize Barrier Reef Reserve System,natural,https://whc.unesco.org/en/list/764,764,https://whc.unesco.org/en/list/764/gallery,https://whc.unesco.org/uploads/thumbs/site_0764_0003-1200-630-20151104160245.jpg
Royal Palaces of Abomey,cultural,https://whc.unesco.org/en/list/323,323,https://whc.unesco.org/en/list/323/gallery,https://whc.unesco.org/uploads/thumbs/site_0323_0009-1200-630-20140722163132.jpg
W-Arly-Pendjari Complex,natural,https://whc.unesco.org/en/list/749,749,https://whc.unesco.org/en/list/749/gallery,https://whc.unesco.org/uploads/thumbs/site_0749_0007-1200-630-20170607180434.jpg
"Koutammakou, the Land of the Batammariba",cultural,https://whc.unesco.org/en/list/1140,1140,https://whc.unesco.org/en/list/1140/gallery,https://whc.unesco.org/uploads/thumbs/site_1140_0020-1200-630-20221103164443.jpg
City of Potosí,cultural_danger,https://whc.unesco.org/en/list/420,420,https://whc.unesco.org/en/list/420/gallery,https://whc.unesco.org/uploads/thumbs/site_0420_0003-1200-630-20151104160303.jpg
Jesuit Missions of the Chiquitos,cultural,https://whc.unesco.org/en/list/529,529,https://whc.unesco.org/en/list/529/gallery,https://whc.unesco.org/uploads/thumbs/site_0529_0001-1200-630-20151104160542.jpg
Historic City of Sucre,cultural,https://whc.unesco.org/en/list/566,566,https://whc.unesco.org/en/list/566/gallery,https://whc.unesco.org/uploads/thumbs/site_0566_0001-1200-630-20151104160403.jpg
Fuerte de Samaipata,cultural,https://whc.unesco.org/en/list/883,883,https://whc.unesco.org/en/list/883/gallery,https://whc.unesco.org/uploads/thumbs/site_0883_0010-1200-630-20151104160341.jpg
Noel Kempff Mercado National Park,natural,https://whc.unesco.org/en/list/967,967,https://whc.unesco.org/en/list/967/gallery,https://whc.unesco.org/uploads/thumbs/site_0967_0001-1200-630-20090924163735.jpg
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,cultural,https://whc.unesco.org/en/list/567,567,https://whc.unesco.org/en/list/567/gallery,https://whc.unesco.org/uploads/thumbs/site_0567_0013-1200-630-20151104160951.jpg
"Qhapaq Ñan, Andean Road System",cultural,https://whc.unesco.org/en/list/1459,1459,https://whc.unesco.org/en/list/1459/gallery,https://whc.unesco.org/uploads/thumbs/site_1459_0020-1200-630-20170322164215.jpg
Old Bridge Area of the Old City of Mostar,cultural,https://whc.unesco.org/en/list/946,946,https://whc.unesco.org/en/list/946/gallery,https://whc.unesco.org/uploads/thumbs/site_0946_0011-1200-630-20130123174833.jpg
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,https://whc.unesco.org/en/list/1133,1133,https://whc.unesco.org/en/list/1133/gallery,https://whc.unesco.org/uploads/thumbs/site_1133_0076-1200-630-20251103122935.jpg
Mehmed Paša Sokolović Bridge in Višegrad,cultural,https://whc.unesco.org/en/list/1260,1260,https://whc.unesco.org/en/list/1260/gallery,https://whc.unesco.org/uploads/thumbs/site_1260_0001-1200-630-20151104161046.jpg
Stećci Medieval Tombstone Graveyards,cultural,https://whc.unesco.org/en/list/1504,1504,https://whc.unesco.org/en/list/1504/gallery,https://whc.unesco.org/uploads/thumbs/site_1504_0033-1200-630-20251202101223.jpg
"Vjetrenica Cave, Ravno",natural,https://whc.unesco.org/en/list/1673,1673,https://whc.unesco.org/en/list/1673/gallery,https://whc.unesco.org/uploads/thumbs/site_1673_0002-1200-630-20230427110640.jpg
Tsodilo,cultural,https://whc.unesco.org/en/list/1021,1021,https://whc.unesco.org/en/list/1021/gallery,https://whc.unesco.org/uploads/thumbs/site_1021_0006-1200-630-20130913124205.jpg
Okavango Delta,natural,https://whc.unesco.org/en/list/1432,1432,https://whc.unesco.org/en/list/1432/gallery,https://whc.unesco.org/uploads/thumbs/site_1432_0008-1200-630-20231023091716.jpg
Historic Town of Ouro Preto,cultural,https://whc.unesco.org/en/list/124,124,https://whc.unesco.org/en/list/124/gallery,https://whc.unesco.org/uploads/thumbs/site_0124_0006-1200-630-20121218171636.jpg
Historic Centre of the Town of Olinda,cultural,https://whc.unesco.org/en/list/189,189,https://whc.unesco.org/en/list/189/gallery,https://whc.unesco.org/uploads/thumbs/site_0189_0017-1200-630-20131015143928.jpg
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",cultural,https://whc.unesco.org/en/list/275,275,https://whc.unesco.org/en/list/275/gallery,https://whc.unesco.org/uploads/thumbs/site_0275_0002-1200-630-20120730182151.jpg
Historic Centre of Salvador de Bahia,cultural,https://whc.unesco.org/en/list/309,309,https://whc.unesco.org/en/list/309/gallery,https://whc.unesco.org/uploads/thumbs/site_0309_0029-1200-630-20151104161201.jpg
Sanctuary of Bom Jesus do Congonhas,cultural,https://whc.unesco.org/en/list/334,334,https://whc.unesco.org/en/list/334/gallery,https://whc.unesco.org/uploads/thumbs/site_0334_0001-1200-630-20110920201250.jpg
Iguaçu National Park,natural,https://whc.unesco.org/en/list/355,355,https://whc.unesco.org/en/list/355/gallery,https://whc.unesco.org/uploads/thumbs/site_0355_0001-1200-630-20250108120426.jpg
Brasilia,cultural,https://whc.unesco.org/en/list/445,445,https://whc.unesco.org/en/list/445/gallery,https://whc.unesco.org/uploads/thumbs/site_0445_0052-1200-630-20180216163822.jpg
Serra da Capivara National Park,cultural,https://whc.unesco.org/en/list/606,606,https://whc.unesco.org/en/list/606/gallery,
Historic Centre of São Luís,cultural,https://whc.unesco.org/en/list/821,821,https://whc.unesco.org/en/list/821/gallery,https://whc.unesco.org/uploads/thumbs/site_0821_0014-1200-630-20200415164142.jpg
Atlantic Forest South-East Reserves,natural,https://whc.unesco.org/en/list/893,893,https://whc.unesco.org/en/list/893/gallery,https://whc.unesco.org/uploads/thumbs/site_0893_0001-1200-630-20090916164859.jpg
Discovery Coast Atlantic Forest Reserves,natural,https://whc.unesco.org/en/list/892,892,https://whc.unesco.org/en/list/892/gallery,https://whc.unesco.org/uploads/thumbs/site_0892_0001-1200-630-20091005132847.jpg
Historic Centre of the Town of Diamantina,cultural,https://whc.unesco.org/en/list/890,890,https://whc.unesco.org/en/list/890/gallery,https://whc.unesco.org/uploads/thumbs/site_0890_0001-1200-630-20141030161343.jpg
Central Amazon Conservation Complex,natural,https://whc.unesco.org/en/list/998,998,https://whc.unesco.org/en/list/998/gallery,https://whc.unesco.org/uploads/thumbs/site_0998_0001-1200-630-20091002190216.jpg
Pantanal Conservation Area,natural,https://whc.unesco.org/en/list/999,999,https://whc.unesco.org/en/list/999/gallery,https://whc.unesco.org/uploads/thumbs/site_0999_0001-1200-630-20250108120535.jpg
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,natural,https://whc.unesco.org/en/list/1000,1000,https://whc.unesco.org/en/list/1000/gallery,https://whc.unesco.org/uploads/thumbs/site_1000_0002-1200-630-20120829105645.jpg
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,natural,https://whc.unesco.org/en/list/1035,1035,https://whc.unesco.org/en/list/1035/gallery,https://whc.unesco.org/uploads/thumbs/site_1035_0001-1200-630-20151104161111.jpg
Historic Centre of the Town of Goiás,cultural,https://whc.unesco.org/en/list/993,993,https://whc.unesco.org/en/list/993/gallery,https://whc.unesco.org/uploads/thumbs/site_0993_0001-1200-630-20090916171218.jpg
São Francisco Square in the Town of São Cristóvão,cultural,https://whc.unesco.org/en/list/1272,1272,https://whc.unesco.org/en/list/1272/gallery,
